iter	Passed	Remaining
0	23	6966
1	45	6753
2	57	5732
3	78	5776
4	97	5736
5	116	5691
6	136	5702
7	155	5683
8	175	5660
9	194	5636
10	213	5617
11	233	5615
12	254	5609
13	274	5605
14	294	5588
15	314	5575
16	333	5555
17	352	5529
18	372	5506
19	391	5485
20	410	5458
21	430	5436
22	450	5421
23	469	5403
24	490	5393
25	509	5372
26	529	5352
27	548	5332
28	568	5312
29	587	5290
30	607	5275
31	628	5260
32	648	5247
33	669	5236
34	689	5221
35	710	5206
36	729	5184
37	748	5163
38	768	5142
39	787	5120
40	807	5101
41	826	5079
42	846	5056
43	865	5037
44	885	5019
45	906	5003
46	925	4981
47	944	4960
48	964	4939
49	984	4920
50	1003	4901
51	1023	4881
52	1042	4860
53	1062	4839
54	1083	4824
55	1103	4808
56	1124	4794
57	1145	4780
58	1165	4760
59	1185	4742
60	1204	4721
61	1224	4698
62	1243	4676
63	1260	4649
64	1278	4620
65	1297	4599
66	1317	4580
67	1335	4558
68	1353	4532
69	1371	4505
70	1388	4478
71	1405	4452
72	1423	4425
73	1440	4399
74	1458	4374
75	1475	4348
76	1492	4322
77	1512	4303
78	1532	4286
79	1551	4266
80	1570	4246
81	1588	4223
82	1606	4200
83	1625	4180
84	1645	4161
85	1664	4141
86	1683	4121
87	1701	4099
88	1723	4084
89	1743	4067
90	1763	4049
91	1782	4030
92	1800	4008
93	1818	3984
94	1835	3961
95	1853	3938
96	1870	3914
97	1887	3890
98	1904	3867
99	1921	3843
100	1940	3823
101	1960	3804
102	1978	3784
103	1995	3761
104	2012	3738
105	2029	3715
106	2047	3693
107	2065	3672
108	2083	3650
109	2100	3628
110	2118	3607
111	2139	3590
112	2158	3572
113	2178	3554
114	2198	3537
115	2219	3520
116	2240	3504
117	2261	3487
118	2281	3470
119	2302	3453
120	2324	3438
121	2344	3421
122	2366	3405
123	2386	3387
124	2406	3368
125	2425	3350
126	2445	3331
127	2464	3312
128	2484	3292
129	2503	3273
130	2522	3254
131	2543	3236
132	2562	3218
133	2582	3198
134	2602	3181
135	2622	3162
136	2642	3143
137	2662	3125
138	2683	3107
139	2703	3089
140	2723	3071
141	2743	3052
142	2763	3034
143	2784	3016
144	2805	2998
145	2825	2980
146	2846	2962
147	2866	2943
148	2886	2924
149	2906	2906
150	2925	2886
151	2945	2867
152	2964	2848
153	2984	2829
154	3006	2812
155	3027	2794
156	3049	2777
157	3070	2759
158	3090	2740
159	3109	2721
160	3128	2701
161	3148	2682
162	3169	2663
163	3174	2632
164	3194	2613
165	3214	2594
166	3232	2574
167	3253	2556
168	3274	2538
169	3293	2518
170	3311	2498
171	3329	2477
172	3348	2458
173	3366	2437
174	3386	2418
175	3405	2399
176	3424	2380
177	3443	2360
178	3461	2339
179	3478	2319
180	3495	2298
181	3513	2277
182	3531	2257
183	3549	2237
184	3567	2217
185	3586	2197
186	3606	2179
187	3626	2160
188	3645	2141
189	3665	2122
190	3686	2103
191	3707	2085
192	3728	2067
193	3748	2048
194	3769	2029
195	3790	2011
196	3809	1991
197	3830	1973
198	3850	1954
199	3869	1934
200	3889	1915
201	3909	1896
202	3928	1877
203	3947	1857
204	3966	1837
205	3983	1817
206	4001	1797
207	4020	1778
208	4039	1758
209	4058	1739
210	4075	1719
211	4093	1698
212	4110	1678
213	4129	1659
214	4148	1640
215	4156	1616
216	4175	1597
217	4195	1578
218	4214	1558
219	4235	1540
220	4254	1520
221	4274	1501
222	4293	1482
223	4312	1463
224	4331	1443
225	4352	1425
226	4371	1405
227	4391	1386
228	4411	1367
229	4431	1348
230	4442	1327
231	4462	1307
232	4480	1288
233	4498	1268
234	4515	1249
235	4532	1229
236	4550	1209
237	4568	1190
238	4586	1170
239	4605	1151
240	4625	1132
241	4644	1113
242	4664	1094
243	4684	1075
244	4703	1055
245	4722	1036
246	4742	1017
247	4761	998
248	4780	979
249	4799	959
250	4818	940
251	4838	921
252	4858	902
253	4878	883
254	4898	864
255	4918	845
256	4938	826
257	4957	807
258	4977	787
259	4997	768
260	5016	749
261	5036	730
262	5055	711
263	5076	692
264	5088	672
265	5107	652
266	5127	633
267	5147	614
268	5166	595
269	5186	576
270	5206	557
271	5226	538
272	5247	518
273	5268	499
274	5290	480
275	5312	461
276	5334	442
277	5356	423
278	5378	404
279	5399	385
280	5421	366
281	5442	347
282	5462	328
283	5482	308
284	5502	289
285	5522	270
286	5541	251
287	5561	231
288	5580	212
289	5598	193
290	5616	173
291	5633	154
292	5652	135
293	5672	115
294	5692	96
295	5713	77
296	5734	57
297	5755	38
298	5774	19
299	5794	0
